column_name,quickstats_section,quickstats_topic,quickstats_row_label,measure_type,source,initial_field_role,initial_modelling_use,notes
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_chile_pct,Cultural diversity,,Chile,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_china_count,Cultural diversity,,China (excludes SARs and Taiwan),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_china_pct,Cultural diversity,,China (excludes SARs and Taiwan),percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_colombia_count,Cultural diversity,,Colombia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_colombia_pct,Cultural diversity,,Colombia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_cook_islands_count,Cultural diversity,,Cook Islands,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_cook_islands_pct,Cultural diversity,,Cook Islands,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_croatia_count,Cultural diversity,,Croatia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_croatia_pct,Cultural diversity,,Croatia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_egypt_count,Cultural diversity,,Egypt,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_egypt_pct,Cultural diversity,,Egypt,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_england_count,Cultural diversity,,England,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_england_pct,Cultural diversity,,England,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_ethiopia_count,Cultural diversity,,Ethiopia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_ethiopia_pct,Cultural diversity,,Ethiopia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_fiji_count,Cultural diversity,,Fiji,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_fiji_pct,Cultural diversity,,Fiji,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_france_count,Cultural diversity,,France,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_france_pct,Cultural diversity,,France,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_germany_count,Cultural diversity,,Germany,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_germany_pct,Cultural diversity,,Germany,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_greece_count,Cultural diversity,,Greece,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_greece_pct,Cultural diversity,,Greece,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_hong_kong_count,Cultural diversity,,Hong Kong (SAR of China),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_hong_kong_pct,Cultural diversity,,Hong Kong (SAR of China),percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_india_count,Cultural diversity,,India,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_india_pct,Cultural diversity,,India,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_indonesia_count,Cultural diversity,,Indonesia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_indonesia_pct,Cultural diversity,,Indonesia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_iran_count,Cultural diversity,,Iran,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_iran_pct,Cultural diversity,,Iran,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_iraq_count,Cultural diversity,,Iraq,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_iraq_pct,Cultural diversity,,Iraq,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_ireland_count,Cultural diversity,,Ireland,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_ireland_pct,Cultural diversity,,Ireland,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_israel_count,Cultural diversity,,Israel,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_israel_pct,Cultural diversity,,Israel,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_italy_count,Cultural diversity,,Italy,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_italy_pct,Cultural diversity,,Italy,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_japan_count,Cultural diversity,,Japan,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_japan_pct,Cultural diversity,,Japan,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_kiribati_count,Cultural diversity,,Kiribati,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_kiribati_pct,Cultural diversity,,Kiribati,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_korea_republic_of_count,Cultural diversity,,"Korea, Republic of (South)",count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_korea_republic_of_pct,Cultural diversity,,"Korea, Republic of (South)",percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_laos_count,Cultural diversity,,Laos,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_laos_pct,Cultural diversity,,Laos,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_lebanon_count,Cultural diversity,,Lebanon,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_lebanon_pct,Cultural diversity,,Lebanon,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_malaysia_count,Cultural diversity,,Malaysia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_malaysia_pct,Cultural diversity,,Malaysia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_malta_count,Cultural diversity,,Malta,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_malta_pct,Cultural diversity,,Malta,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_mongolia_count,Cultural diversity,,Mongolia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_mongolia_pct,Cultural diversity,,Mongolia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_myanmar_count,Cultural diversity,,Myanmar,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_myanmar_pct,Cultural diversity,,Myanmar,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_nepal_count,Cultural diversity,,Nepal,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_nepal_pct,Cultural diversity,,Nepal,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_netherlands_count,Cultural diversity,,Netherlands,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_netherlands_pct,Cultural diversity,,Netherlands,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_new_zealand_count,Cultural diversity,,New Zealand,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_new_zealand_pct,Cultural diversity,,New Zealand,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_norfolk_island_count,Cultural diversity,,Norfolk Island,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_norfolk_island_pct,Cultural diversity,,Norfolk Island,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_north_macedonia_count,Cultural diversity,,North Macedonia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_north_macedonia_pct,Cultural diversity,,North Macedonia,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_northern_ireland_count,Cultural diversity,,Northern Ireland,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_northern_ireland_pct,Cultural diversity,,Northern Ireland,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_pakistan_count,Cultural diversity,,Pakistan,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_pakistan_pct,Cultural diversity,,Pakistan,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_papua_new_guinea_count,Cultural diversity,,Papua New Guinea,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_papua_new_guinea_pct,Cultural diversity,,Papua New Guinea,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_philippines_count,Cultural diversity,,Philippines,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_philippines_pct,Cultural diversity,,Philippines,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_poland_count,Cultural diversity,,Poland,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_poland_pct,Cultural diversity,,Poland,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_portugal_count,Cultural diversity,,Portugal,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_portugal_pct,Cultural diversity,,Portugal,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_romania_count,Cultural diversity,,Romania,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_romania_pct,Cultural diversity,,Romania,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_samoa_count,Cultural diversity,,Samoa,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_samoa_pct,Cultural diversity,,Samoa,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_scotland_count,Cultural diversity,,Scotland,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_scotland_pct,Cultural diversity,,Scotland,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_singapore_count,Cultural diversity,,Singapore,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_singapore_pct,Cultural diversity,,Singapore,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_solomon_islands_count,Cultural diversity,,Solomon Islands,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_solomon_islands_pct,Cultural diversity,,Solomon Islands,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_somalia_count,Cultural diversity,,Somalia,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
