check_name,value,status,notes
source_file,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA2_2021_AUST.xlsx,info,Selected source file.
row_count,2472,info,Rows in output spine.
unique_sa2_count,2472,info,Unique SA2 codes in output spine.
unique_sa3_count,358,info,Unique SA3 codes in output spine.
missing_sa2_code,0,pass,SA2 code must not be missing.
missing_sa3_code,0,pass,SA3 code must not be missing.
duplicate_sa2_rows,0,pass,Output should have one row per SA2.
sa2_maps_to_single_sa3,0,pass,Each SA2 should map to one SA3 in the 2021 ASGS hierarchy.
