sa2_code_2016,ndia_source_file,reason
-,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,NDIA 2016 geography code not found in official ABS 2016→2021 correspondence.
Other,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,NDIA 2016 geography code not found in official ABS 2016→2021 correspondence.
