layer,check_name,value,status,notes
phn,bridge_found,0,pending,No validated local SA2->PHN bridge found. Source remains pending acquisition/bridge.
lga,bridge_found,0,pending,No validated local SA2->LGA bridge found. Source remains pending acquisition/bridge.
