geography,ndia_file_found,ndia_file_path,ndia_row_count,ndia_column_count,ndia_code_column,ndia_unique_2016_codes,bridge_found,bridge_row_count,bridge_unique_2016_codes,bridge_unique_2021_codes,matched_unique_2016_codes,unmatched_unique_2016_codes,coverage_pct,ndia_2016_codes_requiring_allocation_to_multiple_2021_codes,status,notes
SA2,True,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,60996,5,SA2Cd2016,2229,True,2504,2310,2473,2227,2,99.91,151,review,High but incomplete coverage. Review unmatched codes before processing.
SA3,True,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,9038,5,SA3Cd2016,341,True,367,358,359,339,2,99.413,6,review,High but incomplete coverage. Review unmatched codes before processing.
