source_family,page_url,status_code,candidate_url,candidate_text,candidate_kind,notes
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/our-work/phn,Primary Health Networks,link,keyword/download candidate
phn_bridge_to_sa2,https://digital.atlas.gov.au/datasets/primary-health-networks,200,https://digital.atlas.gov.au/datasets/primary-health-networks,source_page,source_page,text/html; charset=utf-8
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,source_page,source_page,text/html; charset=UTF-8
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#main-menu,Open main menu,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#,Close main menu,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#,,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#,Toggle site search,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads,Access and downloads,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#,Cite,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/print,Print current page,download,keyword/download candidate
