timestamp_utc,response_index,status,url,resource_type,content_type,saved_path,capture_status,target_score,target_hits_json
2026-06-19T01:02:03.318360+00:00,159,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.319146+00:00,160,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.325209+00:00,179,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.335443+00:00,196,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.335972+00:00,197,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.336363+00:00,198,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.347429+00:00,218,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.349731+00:00,222,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.350536+00:00,223,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.361788+00:00,241,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.367161+00:00,251,200,https://dataresearch.ndis.gov.au/datasets/provider-datasets,document,text/html; charset=UTF-8,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.368375+00:00,253,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.368874+00:00,254,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.369337+00:00,255,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.378254+00:00,275,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.379160+00:00,278,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
