_code_2016,rows_after_period_filter,source_family,source_file,selected_reference_period
-,10,participants_by_sa2,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,2021-12-31
-,10,participants_by_sa3,participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,2021-12-31
