source_page_key,source_page_url,source_family,link_text,download_url,suffix_hint,discovered_at_utc
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data Part 2 June 2024 (ZIP 1.3MB),https://dataresearch.ndis.gov.au/media/4044/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Participant goals data (XLSX 104KB),https://dataresearch.ndis.gov.au/media/4104/download?attachment,.xlsx,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,First Nations participants (CSV 52KB),https://dataresearch.ndis.gov.au/media/4227/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Culturally and linguistically diverse participants (CSV 36KB),https://dataresearch.ndis.gov.au/media/4225/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Projected participant by service district data (CSV 10KB),https://dataresearch.ndis.gov.au/media/4273/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Projected participant by state and territory data (CSV 2KB),https://dataresearch.ndis.gov.au/media/4272/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Baseline Outcomes data (CSV 67KB),https://dataresearch.ndis.gov.au/media/4223/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Longitudinal Outcomes data (CSV 1.4MB),https://dataresearch.ndis.gov.au/media/4229/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participants_by_sa2,Participants by SA2 data (CSV 2.5MB),https://dataresearch.ndis.gov.au/media/4319/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participants_by_sa3,Participants by SA3 data (CSV 356KB),https://dataresearch.ndis.gov.au/media/4241/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Participants by SA4 data (CSV 108KB),https://dataresearch.ndis.gov.au/media/4243/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Participants by CED data (CSV 72KB),https://dataresearch.ndis.gov.au/media/4235/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participants_by_lga,Participants by LGA data (CSV 457KB),https://dataresearch.ndis.gov.au/media/4237/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Service District to LGA 2011 data (CSV 23KB),https://dataresearch.ndis.gov.au/media/1955/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Service District to LGA 2016 data (CSV 22KB),https://dataresearch.ndis.gov.au/media/2198/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Service District to LGA 2021 data (CSV 22KB),https://dataresearch.ndis.gov.au/media/3218/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,sda_participants,SDA participants data (CSV 74KB),https://dataresearch.ndis.gov.au/media/4250/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,sda_dwellings_demand,SDA Enrolled dwellings and NDIS demand data (XLSX 1.1MB),https://dataresearch.ndis.gov.au/media/4248/download?attachment,.xlsx,2026-06-19T00:46:08.214618+00:00
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,sil_participants,SIL participants data (CSV 74KB),https://dataresearch.ndis.gov.au/media/4269/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 31 March 2026 (CSV 3.8MB),https://dataresearch.ndis.gov.au/media/4531/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 31 December 2025 (CSV 4MB),https://dataresearch.ndis.gov.au/media/4487/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 30 September 2025 (CSV 4.1MB),https://dataresearch.ndis.gov.au/media/4450/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 30 June 2025 (CSV 4.11MB),https://dataresearch.ndis.gov.au/media/4369/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 31 March 2025 (CSV 4.2MB),https://dataresearch.ndis.gov.au/media/4317/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 31 December 2024 (CSV 4.2 MB),https://dataresearch.ndis.gov.au/media/4216/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 30 September 2024 (CSV 4.2 MB),https://dataresearch.ndis.gov.au/media/4147/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,active_providers,Active providers data as at 30 June 2024 (CSV 12.9MB),https://dataresearch.ndis.gov.au/media/4105/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
provider_datasets,https://dataresearch.ndis.gov.au/datasets/provider-datasets,market_concentration,Market Concentration data (CSV 760KB),https://dataresearch.ndis.gov.au/media/4231/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data March 2026 (CSV 13.7MB),https://dataresearch.ndis.gov.au/media/4532/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data December 2025 (CSV 14MB),https://dataresearch.ndis.gov.au/media/4488/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data September 2025 (CSV 14.2MB),https://dataresearch.ndis.gov.au/media/4475/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data June 2025 (CSV 12.9MB),https://dataresearch.ndis.gov.au/media/4476/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data March 2025 (CSV 12.9MB),https://dataresearch.ndis.gov.au/media/4477/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data December 2024 (CSV 13MB),https://dataresearch.ndis.gov.au/media/4478/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data September 2024 (CSV 13.1MB),https://dataresearch.ndis.gov.au/media/4479/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
payments_datasets,https://dataresearch.ndis.gov.au/datasets/payments-datasets,payments,Payments data June 2024 (CSV 13.1MB),https://dataresearch.ndis.gov.au/media/4480/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00
