file_path,status,file_size_bytes,period_tokens_found,candidate_path_count,target_score,target_hits_json
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\mmenu-07a36758efb381832999.js,pass,2955,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\ndia-ncc-webchat-widget.js,pass,470365,,0,3,"{""participant_plan"": [""participant""], ""utilisation_payment"": [""payment""], ""provider_market"": [""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\provider-search-8ce008ec617ad8f64458.js,pass,672,,0,4,"{""participant_plan"": [""participant"", ""participants""], ""provider_market"": [""provider"", ""providers""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00001_be03dd223687.txt,pass,31397,,2,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00040_ead8f3b067f1.txt,pass,28192,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00042_58e2b31561ae.txt,pass,2640,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00067_5e297e0e68f9.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00068_379ca667e83d.js,pass,475172,,0,5,"{""period_2021_22"": [""2022""], ""geography"": [""region""], ""utilisation_payment"": [""payment""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00070_51e0d8819eff.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00071_6a5cb8da0ffb.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00691_29c570c857f8.txt,pass,37605,,0,8,"{""geography"": [""region""], ""psychosocial"": [""primary disability""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00721_ead8f3b067f1.txt,pass,28192,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00748_379ca667e83d.js,pass,475172,,0,5,"{""period_2021_22"": [""2022""], ""geography"": [""region""], ""utilisation_payment"": [""payment""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00749_ec119153523f.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00750_3a95974ddf25.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00753_4c28eb156597.txt,pass,520,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00755_e88ea87087b5.js,pass,27422,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\ruxitagentjs_D_10339260603164134.js,pass,27423,,0,0,{}
