request_timestamp_utc,sa3_code_2021,sa3_name_2021,state_name_2021,year_requested,status,records_retrieved,raw_file,error
2026-06-18T02:31:50.448228+00:00,11901,Bankstown,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_11901_bankstown_2021_22.csv,
2026-06-18T02:31:50.473714+00:00,11902,Canterbury,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_11902_canterbury_2021_22.csv,
2026-06-18T02:31:50.500759+00:00,11903,Hurstville,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_11903_hurstville_2021_22.csv,
2026-06-18T02:31:50.528656+00:00,11904,Kogarah - Rockdale,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_11904_kogarah_rockdale_2021_22.csv,
2026-06-18T02:31:50.559623+00:00,12001,Canada Bay,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12001_canada_bay_2021_22.csv,
2026-06-18T02:31:50.588594+00:00,12002,Leichhardt,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12002_leichhardt_2021_22.csv,
2026-06-18T02:31:50.617438+00:00,12003,Strathfield - Burwood - Ashfield,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12003_strathfield_burwood_ashfield_2021_22.csv,
2026-06-18T02:31:50.645163+00:00,12101,Chatswood - Lane Cove,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12101_chatswood_lane_cove_2021_22.csv,
2026-06-18T02:31:50.672424+00:00,12102,Hornsby,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12102_hornsby_2021_22.csv,
2026-06-18T02:31:50.698423+00:00,12103,Ku-ring-gai,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12103_ku_ring_gai_2021_22.csv,
2026-06-18T02:31:50.727258+00:00,12104,North Sydney - Mosman,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12104_north_sydney_mosman_2021_22.csv,
2026-06-18T02:31:50.756011+00:00,12201,Manly,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12201_manly_2021_22.csv,
2026-06-18T02:31:50.781020+00:00,12202,Pittwater,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12202_pittwater_2021_22.csv,
2026-06-18T02:31:50.807677+00:00,12203,Warringah,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12203_warringah_2021_22.csv,
2026-06-18T02:31:50.833875+00:00,12301,Camden,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12301_camden_2021_22.csv,
2026-06-18T02:31:50.862357+00:00,12302,Campbelltown (NSW),New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12302_campbelltown_nsw_2021_22.csv,
2026-06-18T02:31:50.892151+00:00,12303,Wollondilly,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12303_wollondilly_2021_22.csv,
2026-06-18T02:31:50.923017+00:00,12401,Blue Mountains,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12401_blue_mountains_2021_22.csv,
2026-06-18T02:31:50.937672+00:00,12402,Blue Mountains - South,New South Wales,2021-22,cached,30,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12402_blue_mountains_south_2021_22.csv,
2026-06-18T02:31:50.965651+00:00,12403,Penrith,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12403_penrith_2021_22.csv,
2026-06-18T02:31:50.996276+00:00,12404,Richmond - Windsor,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12404_richmond_windsor_2021_22.csv,
2026-06-18T02:31:51.024976+00:00,12405,St Marys,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12405_st_marys_2021_22.csv,
2026-06-18T02:31:51.052954+00:00,12501,Auburn,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12501_auburn_2021_22.csv,
2026-06-18T02:31:51.078390+00:00,12502,Carlingford,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12502_carlingford_2021_22.csv,
2026-06-18T02:31:51.105097+00:00,12503,Merrylands - Guildford,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12503_merrylands_guildford_2021_22.csv,
2026-06-18T02:31:51.131796+00:00,12504,Parramatta,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12504_parramatta_2021_22.csv,
