column_name,source_table,initial_field_role,initial_modelling_use,missing_count,missing_pct,dtype,notes
seifa_ier_percentile_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,2472,100.0,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_percentile_australia_3,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,126,5.097,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_rank_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,122,4.935,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_rank_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,126,5.097,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,122,4.935,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,2472,100.0,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score_3,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,122,4.935,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score_4,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,122,4.935,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score_5,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,122,4.935,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ier_score_missing_flag,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,0,0.0,bool,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_decile_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_decile_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_percentile_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_percentile_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,2472,100.0,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_percentile_australia_3,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_rank_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_rank_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,2472,100.0,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score_3,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score_4,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score_5,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,110,4.45,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_ieo_score_missing_flag,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,0,0.0,bool,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_excluded_table6_flag,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,0,0.0,bool,SEIFA variable or SEIFA missingness/exclusion flag.
source_seifa_present_flag,integration_build,source_presence_audit,audit_only,0,0.0,bool,Indicates whether the SA2 matched the source table during integration.
remoteness_area_code_2021,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,string,SA2-level remoteness classification derived through SA1 bridge.
remoteness_area_name_2021,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,string,SA2-level remoteness classification derived through SA1 bridge.
remoteness_area_short_2021,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,string,SA2-level remoteness classification derived through SA1 bridge.
remoteness_area_ordinal_2021,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,18,0.728,Int64,SA2-level remoteness classification derived through SA1 bridge.
remoteness_area_share_of_sa2,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,18,0.728,float64,SA2-level remoteness classification derived through SA1 bridge.
