archive_path,archive_name,member_name,member_extension,member_file_size,member_compress_size,member_is_dir,member_is_candidate_data,detected_geographies
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_act_ur.csv,.csv,166372,5055,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_nsw_en.csv,.csv,2369801,66952,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_nsw_ur.csv,.csv,2645928,67102,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_nt_en.csv,.csv,79752,2893,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_nt_ur.csv,.csv,89283,3004,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_ot_en.csv,.csv,3001,263,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_ot_ur.csv,.csv,3472,299,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_qld_en.csv,.csv,1486605,44088,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_qld_ur.csv,.csv,1660192,44377,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_sa_en.csv,.csv,539279,15975,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_sa_ur.csv,.csv,603095,16517,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_tas_en.csv,.csv,199689,6537,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_tas_ur.csv,.csv,221792,6439,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_vic_en.csv,.csv,2130684,52489,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_vic_ur.csv,.csv,2341922,51895,0,1,unknown
