source_family,period_detection_method,period_column,period_policy,target_date,target_window_start,target_window_end,target_tie_break,available_period_count,available_periods,period_min,period_max,selected_reference_period,selected_period_alignment_basis,selected_period_in_target_window,selected_period_days_from_target,rows_before_period_filter,rows_after_period_filter,period_column_parse_rate
participants_by_sa2,column_values,RprtDt,target_window,2021-12-31,2021-01-01,2022-06-30,later,28,2019-06-30 | 2019-09-30 | 2019-12-31 | 2020-03-31 | 2020-06-30 | 2020-09-30 | 2020-12-31 | 2021-03-31 | 2021-06-30 | 2021-09-30 | 2021-12-31 | 2022-03-31 | 2022-06-30 | 2022-09-30 | 2022-12-31 | 2023-03-31 | 2023-06-30 | 2023-09-30 | 2023-12-31 | 2024-03-31 | 2024-06-30 | 2024-09-30 | 2024-12-31 | 2025-03-31 | 2025-06-30 | 2025-09-30 | 2025-12-31 | 2026-03-31,2019-06-30,2026-03-31,2021-12-31,closest_to_target_inside_window,True,0,60996,2160,1.0
participants_by_sa3,column_values,RprtDt,target_window,2021-12-31,2021-01-01,2022-06-30,later,26,2019-12-31 | 2020-03-31 | 2020-06-30 | 2020-09-30 | 2020-12-31 | 2021-03-31 | 2021-06-30 | 2021-09-30 | 2021-12-31 | 2022-03-31 | 2022-06-30 | 2022-09-30 | 2022-12-31 | 2023-03-31 | 2023-06-30 | 2023-09-30 | 2023-12-31 | 2024-03-31 | 2024-06-30 | 2024-09-30 | 2024-12-31 | 2025-03-31 | 2025-06-30 | 2025-09-30 | 2025-12-31 | 2026-03-31,2019-12-31,2026-03-31,2021-12-31,closest_to_target_inside_window,True,0,9038,343,1.0
