"run_timestamp","mode","action_type","item_type","source_path","destination_path","source_exists","size_bytes","size_mb","reason","status"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\allocation_files\LGA_2021_AUST.xlsx","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\allocation_files\LGA_2021_AUST.xlsx","1","20000485","19.073949","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=1.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\remoteness\LGA_2021_AUST.xlsx","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\remoteness\LGA_2021_AUST.xlsx","1","20000485","19.073949","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=1.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\allocation_files\MB_2021_AUST.xlsx","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\allocation_files\MB_2021_AUST.xlsx","1","35322985","33.686624","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=2.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\remoteness\MB_2021_AUST.xlsx","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\remoteness\MB_2021_AUST.xlsx","1","35322985","33.686624","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=2.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CA_ADD_2016_ADD_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CA_ADD_2016_ADD_2021.csv","1","3259","0.003108","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=3.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_2022_LGA_2023_LGA.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_2022_LGA_2023_LGA.csv","1","28806","0.027472","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=4.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2016_CED_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2016_CED_2021.csv","1","19698","0.018785","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=5.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2018_CED_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2018_CED_2021.csv","1","15741","0.015012","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=6.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2021_CED_2024.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2021_CED_2024.csv","1","15606","0.014883","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=7.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2024_CED_2025.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_CED_2024_CED_2025.csv","1","7574","0.007223","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=8.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_DZN_2016_DZN_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_DZN_2016_DZN_2021.csv","1","335336","0.319801","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=9.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_GCCSA_2016_GCCSA_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_GCCSA_2016_GCCSA_2021.csv","1","2742","0.002615","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=10.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_IARE_2016_IARE_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_IARE_2016_IARE_2021.csv","1","27489","0.026216","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=11.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_ILOC_2016_ILOC_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_ILOC_2016_ILOC_2021.csv","1","76271","0.072738","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=12.","planned"
"20260622_121912","DRY_RUN","move_file","file","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\correspondences\asgs_2016_to_2021\CG_IREG_2016_IREG_2021.csv","D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121912\duplicate_exact_sha_copies\data\raw\abs\correspondences\asgs_2016_to_2021\CG_IREG_2016_IREG_2021.csv","1","3852","0.003674","Exact duplicate sha256. Keeping audit-selected active copy; duplicate_group_id=13.","planned"
