source_family,native_geography,target_geography,selected_reference_period,source_2016_code_count,target_2021_code_count,bridge_row_count_used,unmatched_2016_code_count,source_participant_total_2016,allocated_participant_total_2021,unmatched_participant_total_2016,allocation_total_difference,allocation_total_retained_pct,allocation_required_2016_codes,status,notes
participants_by_sa2,SA2_2016,SA2_2021,2021-12-31,2151,2310,2335,1,502413.0,501968.929894,444.0,444.0701059999992,99.9116,148,pass,Participant counts are allocated from ASGS 2016 to ASGS 2021 using official ABS RATIO_FROM_TO. NDIA POC layer uses the best available 2021/2022-aligned public reference period where available and remains excluded from the primary model by default.
participants_by_sa3,SA3_2016,SA3_2021,2021-12-31,334,333,338,1,502393.0,502302.9326083,90.0,90.06739169999491,99.9821,5,pass,Participant counts are allocated from ASGS 2016 to ASGS 2021 using official ABS RATIO_FROM_TO. NDIA POC layer uses the best available 2021/2022-aligned public reference period where available and remains excluded from the primary model by default.
