inventory_timestamp_utc,source_origin,source_run,source_family,poc_family_group,manifest_source_family,file_path,file_name,file_suffix,file_size_bytes,file_modified_utc,sha256,link_text,source_page_url,download_url,text_period_min,text_period_max,text_period_source,columns_detected,sheet_names,sample_row_count,column_count,content_period_min,content_period_max,content_period_columns,content_period_source,inspect_status,inspect_error,has_sa2_signal,has_sa3_signal,has_sa4_signal,has_lga_signal,has_service_district_signal,has_phn_signal,has_state_signal,has_postcode_signal,has_psychosocial_signal,has_disability_signal,has_support_category_signal,has_support_class_signal,has_participant_signal,has_payment_signal,has_provider_signal,has_market_signal,has_plan_budget_signal,has_utilisation_signal,period_min,period_max,period_basis,period_source,period_sort_date,join_readiness,join_readiness_reason,primary_model_use,poc_sensitivity_use,time_alignment_status,time_alignment_note
2026-06-19T02:43:24.672418+00:00,explore_data_tool_capture,ndia_explore_q4_fy2021_22_sa2_capture,participants_by_sa2,participant_context,,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\downloads\Participants_by_SA2_data.csv,Participants_by_SA2_data.csv,.csv,2716972,2026-06-19T01:02:02.444380+00:00,5bfd72edf8bca195466758ebe2b0866f6120dfc7c4b05898582360106bac9857,,,,,,not_detected,RprtDt | StateCd | SA2Cd2016 | SA2Nm2016 | PrtcpntCnt,,5000,5,2026-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2026-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,joinable_now_sa2,Contains SA2 signal. Can be processed for proof-of-concept SA2 context if columns validate.,exclude_from_primary_2021_aligned_model,eligible_for_ndia_public_poc_sensitivity_or_demonstration_layer,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:35.801473+00:00,public_data_downloads,,participants_by_sa2,participant_context,participants_by_sa2,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_by_sa2__Participants_by_SA2_data.csv,participants_by_sa2__Participants_by_SA2_data.csv,.csv,2716972,2026-06-19T00:47:04.525057+00:00,5bfd72edf8bca195466758ebe2b0866f6120dfc7c4b05898582360106bac9857,Participants by SA2 data (CSV 2.5MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4319/download?attachment,,,not_detected,RprtDt | StateCd | SA2Cd2016 | SA2Nm2016 | PrtcpntCnt,,5000,5,2026-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2026-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,joinable_now_sa2,Contains SA2 signal. Can be processed for proof-of-concept SA2 context if columns validate.,exclude_from_primary_2021_aligned_model,eligible_for_ndia_public_poc_sensitivity_or_demonstration_layer,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:35.822434+00:00,public_data_downloads,,participants_by_sa3,participant_context,participants_by_sa3,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_by_sa3__Participants_by_SA3_data.csv,participants_by_sa3__Participants_by_SA3_data.csv,.csv,364583,2026-06-19T00:47:05.119069+00:00,013e8fa5af4b01968dba1ea1aa9c1b3dae275c7df87f8cb3f0ec0cafe683c8ae,Participants by SA3 data (CSV 356KB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4241/download?attachment,,,not_detected,RprtDt | StateCd | SA3Cd2016 | SA3Nm2016 | PrtcpntCnt,,5000,5,2024-12-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2024-12-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,joinable_now_sa3,Contains SA3 signal. Can be joined through sa3_code_2021 after processing.,exclude_from_primary_2021_aligned_model,eligible_for_ndia_public_poc_sensitivity_or_demonstration_layer,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:43:24.688164+00:00,explore_data_tool_capture,ndia_explore_q4_fy2021_22_sa2_capture,diagnosis,participant_disability_context,,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\downloads\Participants_count_by_diagnosis_data.csv,Participants_count_by_diagnosis_data.csv,.csv,1723538,2026-06-19T01:02:01.735680+00:00,5a85aa4de57bb8379b0de5f1601c97f70f25ec1dded152cca9825bf7a23fbb9e,,,,,,not_detected,RprtDt | StateCd | NDISDsbltyGrpNm | ICDDsbltyNm | Primary | Reported,,5000,6,2025-12-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,2025-12-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:35.840082+00:00,public_data_downloads,,diagnosis,participant_disability_context,participants_count_by_diagnosis,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,.csv,1723538,2026-06-19T00:46:43.011080+00:00,5a85aa4de57bb8379b0de5f1601c97f70f25ec1dded152cca9825bf7a23fbb9e,Participants count by diagnosis data (CSV 1.7MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4245/download?attachment,,,not_detected,RprtDt | StateCd | NDISDsbltyGrpNm | ICDDsbltyNm | Primary | Reported,,5000,6,2025-12-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,2025-12-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:43:24.714132+00:00,explore_data_tool_capture,ndia_explore_q4_fy2021_22_sa2_capture,participant_numbers_plan_budgets,plan_budget_context,,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\downloads\Participant_numbers_and_plan_budgets_data._June_2024.csv,Participant_numbers_and_plan_budgets_data._June_2024.csv,.csv,7113872,2026-06-19T01:02:02.795666+00:00,c8cdc62e0b10c91162da4947b7160b1dbeab44b481e538848baf338858394c43,,,,,,not_detected,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SuppClass | AvgAnlsdCmtdSuppBdgt | ActvPrtcpnt,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:44:17.682393+00:00,explore_data_tool_capture,ndia_explore_q4_fy2021_22_sa2_capture,participant_numbers_plan_budgets,plan_budget_context,,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\downloads\Utilisation_of_Plan_budgets_data_June_2024.csv,Utilisation_of_Plan_budgets_data_June_2024.csv,.csv,9258531,2026-06-19T01:02:03.192298+00:00,982bee7b3de38d17c1b465d231970126f20c0db7827326554d649089f5b2c81a,,,,,,not_detected,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SILorSDA | suppclass | Utlstn,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:35.862284+00:00,public_data_downloads,,participant_numbers_plan_budgets,plan_budget_context,participant_numbers_plan_budgets,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,.csv,7113872,2026-06-19T00:46:26.325571+00:00,c8cdc62e0b10c91162da4947b7160b1dbeab44b481e538848baf338858394c43,Participant numbers and plan budgets data June 2024 (CSV 6.8MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4024/download?attachment,2024-06-30,2024-06-30,detected_from_filename_or_metadata,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SuppClass | AvgAnlsdCmtdSuppBdgt | ActvPrtcpnt,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:36.484274+00:00,public_data_downloads,,participant_numbers_plan_budgets,plan_budget_context,participant_numbers_plan_budgets,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_June_2024.csv,participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_June_2024.csv,.csv,9258531,2026-06-19T00:46:42.057601+00:00,982bee7b3de38d17c1b465d231970126f20c0db7827326554d649089f5b2c81a,Utilisation of Plan budgets data June 2024 (CSV 8.9MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4026/download?attachment,2024-06-30,2024-06-30,detected_from_filename_or_metadata,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SILorSDA | suppclass | Utlstn,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
2026-06-19T02:42:36.040787+00:00,public_data_downloads,,participant_numbers_plan_budgets,plan_budget_context,participant_numbers_plan_budgets,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_September_2024.csv,participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_September_2024.csv,.csv,7137290,2026-06-19T00:46:24.102627+00:00,4a39534b90b0a0d85c09a8184c78bc0a1e10503c8e018b46d677d946435c2c46,Participant numbers and plan budgets data September 2024 (CSV 6.9MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4144/download?attachment,2024-09-30,2024-09-30,detected_from_filename_or_metadata,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SuppClass | AvgAnlsdCmtdSuppBdgt | ActvPrtcpnt,,5000,8,2024-09-30,2024-09-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,2024-09-30,2024-09-30,content,detected_from_content_date_columns,2024-09-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.
