column_name,normalised_column_name,matched_patterns,non_missing_count,numeric_parse_rate,min_numeric,max_numeric,source_hint
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_mother_only_born_overseas_pct,census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_mother_only_born_overseas_pct,rent,2341,0.9470064724919094,0.0,11.7,existing_master_quickstats_or_prior_layer
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_count,census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_count,rent,2341,0.9470064724919094,10.0,3644.0,existing_master_quickstats_or_prior_layer
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_pct,census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_pct,rent,2341,0.9470064724919094,0.9,58.5,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_count,census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_count,dwelling,2341,0.9470064724919094,30.0,11074.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_pct,census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_pct,dwelling,2341,0.9470064724919094,21.1,100.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_count,census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_count,dwelling; unoccupied,2341,0.9470064724919094,3.0,11358.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_pct,census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_pct,dwelling; unoccupied,2341,0.9470064724919094,1.6,79.6,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_count,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_count,dwelling,2341,0.9470064724919094,0.0,9147.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_pct,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_pct,dwelling,2341,0.9470064724919094,0.0,99.7,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_count,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_count,dwelling,2341,0.9470064724919094,0.0,434.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_pct,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_pct,dwelling,2341,0.9470064724919094,0.0,36.4,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc_count,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc,dwelling,2341,0.9470064724919094,0.0,3962.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc_pct,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc,dwelling,2341,0.9470064724919094,0.0,68.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_count,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_count,dwelling,2341,0.9470064724919094,0.0,10258.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_pct,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_pct,dwelling,2341,0.9470064724919094,0.0,100.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_count,dwelling; bedroom,2341,0.9470064724919094,0.0,4162.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,51.3,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_count,dwelling; bedroom,2341,0.9470064724919094,0.0,5159.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,66.8,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_count,dwelling; bedroom,2341,0.9470064724919094,0.0,6033.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,81.4,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_count,dwelling; bedroom,2341,0.9470064724919094,0.0,6168.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,91.5,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_bedrooms_per_dwelling_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_bedrooms_per_dwelling_count,dwelling; bedroom,2341,0.9470064724919094,1.4,4.6,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_people_per_household_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_people_per_household_count,dwelling; bedroom,2341,0.9470064724919094,1.5,5.1,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_count,dwelling; bedroom,2341,0.9470064724919094,0.0,1507.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,15.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_count,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_count,dwelling; bedroom,2341,0.9470064724919094,0.0,376.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_pct,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_pct,dwelling; bedroom,2341,0.9470064724919094,0.0,19.8,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_count,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_count,dwelling,2341,0.9470064724919094,12.0,5984.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_pct,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_pct,dwelling,2341,0.9470064724919094,9.0,78.4,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_count,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_count,dwelling,2341,0.9470064724919094,3.0,4278.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_pct,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_pct,dwelling,2341,0.9470064724919094,1.6,62.4,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_count,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_count,dwelling,2341,0.9470064724919094,0.0,3109.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_pct,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_pct,dwelling,2341,0.9470064724919094,0.0,52.3,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_count,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_count,dwelling,2341,0.9470064724919094,0.0,372.0,existing_master_quickstats_or_prior_layer
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_pct,census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_pct,dwelling,2341,0.9470064724919094,0.0,35.5,existing_master_quickstats_or_prior_layer
