native_geography,relative_path,file_size_mb,estimated_rows
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__migrants_family__v20.csv,0.119988,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__migrants_humanitarian__v20.csv,0.111667,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__migrants_skilled__v20.csv,0.120745,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__migrants_total__v20.csv,0.12029,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__mothers_babies__v20.csv,0.134648,601
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__pop_projections_females__v20.csv,0.323666,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__pop_projections_males__v20.csv,0.322597,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__pop_projections_persons__v20.csv,0.329952,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__population_proportion__v20.csv,0.088809,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__population_proportion_age__v20.csv,0.168131,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__premature_mortality_by_cause__v20.csv,0.940616,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__premature_mortality_by_sex__v20.csv,0.257544,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__private_health_insurance__v20.csv,0.105081,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__screening__v20.csv,0.297023,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__screening_age__v20.csv,0.314112,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__topics__v20.csv,0.001983,14
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__total_fertility_rate__v20.csv,0.077017,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__volunteering__v20.csv,0.083955,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__years_life_lost__v20.csv,0.26334,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__years_life_lost_by_cause__v20.csv,0.842997,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__years_life_lost_females_age__v20.csv,0.285501,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__years_life_lost_males_age__v20.csv,0.288882,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__years_life_lost_persons_age__v20.csv,0.320263,595
lga,data\processed\native\lga\phidu_raw__phidu_official_phn_with_component_lgas__topics__v20.csv,0.0021,14
ndis_service_area,data\processed\native\ndis_service_area\ndis_service_area_candidate__sda_dwellings_demand_2026_03_30_sda_dwellings_demand_sda_enrolled_dwellings_and_ndis_demand_data__table_p_1__v20.csv,0.024587,102
phn,data\processed\native\phn\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_readme_csv_metadata_and_user_guide_2023_24__apc_phn_sa4__v20.csv,0.001728,13
phn,data\processed\native\phn\aihw_mental_health_regional_activity__ed_csv_readme_and_metadata_user_guide_2324__ed_phn_sa4_metadata__v20.csv,0.001251,4
phn,data\processed\native\phn\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_geospatial__v20.csv,0.003881,31
phn,data\processed\native\phn\phidu_phn_context_selected_v12__native_copy__v20.csv,0.046883,31
phn,data\processed\native\phn\phidu_raw__phidu_official_phn_with_component_lgas__front_page__v20.csv,0.000753,3
phn,data\processed\native\phn\phidu_raw__phidu_official_phn_with_component_phas__front_page__v20.csv,0.000752,3
phn,data\processed\native\phn\phidu_raw__phidu_official_phn_with_component_phas__topics__v20.csv,0.002084,14
sa2,data\processed\native\sa2\abs_census_quickstats_sa2_2021__native_copy__v20.csv,8.541565,2393
sa2,data\processed\native\sa2\abs_homelessness__abs_homelessness_census_005_download_xlsx_320_14_kb__table_5_3__v20.csv,0.42788,2899
sa2,data\processed\native\sa2\abs_homelessness__abs_homelessness_census_005_download_xlsx_320_14_kb__table_5_4__v20.csv,0.403151,2737
sa2,data\processed\native\sa2\abs_nsmhw_sa2_modelled_2020_22__native_copy__v20.csv,0.835745,2472
sa2,data\processed\native\sa2\abs_remoteness_sa2_2021__native_copy__v20.csv,0.512053,2472
sa2,data\processed\native\sa2\abs_sa2_spine_2021__native_copy__v20.csv,0.424668,2472
sa2,data\processed\native\sa2\abs_seifa_sa2_2021__native_copy__v20.csv,0.998097,2472
sa2,data\processed\native\sa2\geography_bridges__phn_2017_asgs2021_sa2__cg_sa2_2021_phn_2017_all__v20.csv,0.456198,2538
sa2,data\processed\native\sa2\ndis_service_area_candidate__participants_by_sa2_2026_03_31_participants_by_sa2_participants_by_sa2_data__v20.csv,15.912169,60996
sa3,data\processed\native\sa3\abs_homelessness__abs_homelessness_census_005_download_xlsx_320_14_kb__table_5_1__v20.csv,0.086615,450
sa3,data\processed\native\sa3\abs_homelessness__abs_homelessness_census_005_download_xlsx_320_14_kb__table_5_2__v20.csv,0.086483,450
sa3,data\processed\native\sa3\abs_homelessness__abs_homelessness_census_007_download_xlsx_90_67_kb__table_7_5__v20.csv,0.015101,76
sa3,data\processed\native\sa3\abs_homelessness__abs_homelessness_census_007_download_xlsx_90_67_kb__table_7_7__v20.csv,0.021392,110
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_003_download_xlsx_194_kb__table6_summary_ind_language__v20.csv,0.00549,20
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_003_download_xlsx_194_kb__table_36_comm_language__v20.csv,0.005291,22
